3.7603,5.2473,9.6101,0.4
1.182,6.0812,9.8102,0.2
4.1183,4.7836,9.8101,0.2
4.9875,1.13,9.81,0.2
3.1846,3.9027,9.81,0.2
3.1087,6.3727,9.61,0.4
8.6777,0.258,9.8102,0.2
4.1215,2.9943,9.8102,0.2
9.2416,3.8794,9.8101,0.2
9.3654,9.3959,9.6101,0.4
2.2106,1.36,9.8099,0.2
6.9522,1.196,9.8101,0.2
0.196,4.0259,9.81,0.2
0.778,0.0856,9.8099,0.2
0.672,5.238,9.6101,0.4
1.32,2.9368,9.81,0.2
2.5461,6.8173,9.81,0.2
5.7173,8.1225,9.8102,0.2
2.7593,5.6121,9.6101,0.4
7.2655,0.952,9.81,0.2
2.6683,5.0531,9.8091,0.2
1.448,0.62,9.8102,0.2
5.2794,9.0586,9.8102,0.2
8.019,5.8279,9.6099,0.4
7.1829,0.0498,9.8101,0.2
5.8993,4.662,9.8102,0.2
1.628,7.0097,9.81,0.2
7.8238,0.922,9.6062,0.4
9.9107,9.9644,9.8099,0.2
4.4935,3.2013,9.8101,0.2
0.666,3.2988,9.8101,0.2
9.2619,0.1392,9.8103,0.2
9.4592,5.7188,9.6101,0.4
2.3569,9.1611,9.8101,0.2
9.6949,1.884,9.81,0.2
0.228,5.9306,9.8099,0.2
0.772,2.744,9.608,0.4
7.7775,1.7,9.8102,0.2
0.624,3.7243,9.8087,0.2
1.204,6.5415,9.8099,0.2
4.5727,5.1344,9.61,0.4
6.0438,4.2398,9.8102,0.2
1.388,2.5397,9.8091,0.2
3.4029,8.7742,9.8101,0.2
1.254,7.1849,9.81,0.2
2.0413,4.7528,9.6099,0.4
0.1168,7.8986,9.8102,0.2
8.062,8.5619,9.8102,0.2
0.634,4.1244,9.81,0.2
6.708,7.7426,9.6099,0.4
8.8618,5.5755,9.8102,0.2
1.12,5.6803,9.8103,0.2
5.7362,7.2488,9.81,0.2
9.5164,3.494,9.81,0.2
0.422,8.8807,9.6099,0.4
4.7997,8.8541,9.8102,0.2
4.221,8.6609,9.8103,0.2
3.7187,9.7369,9.8102,0.2
9.9052,4.9045,9.6099,0.4
1.008,4.3213,9.8101,0.2
1.082,3.3496,9.8101,0.2
4.3428,2,9.8101,0.2
2.6222,4.6603,9.81,0.2
8.3371,1.56,9.61,0.4
2.5754,3.0069,9.8101,0.2
2.1659,5.6375,9.8102,0.2
8.6304,9.2802,9.81,0.2
4.5535,6.5756,9.6099,0.4
3.2765,3.1016,9.81,0.2
3.5799,4.6613,9.8104,0.2
1.438,1.88,9.8104,0.2
7.6045,6.5381,9.6099,0.4
9.9381,8.4601,9.8103,0.2
2.7592,7.4315,9.8099,0.2
9.0099,8.2621,9.81,0.2
5.0213,2.5049,9.8102,0.2
4.9417,0.298,9.6101,0.4
8.7749,7.1894,9.8098,0.2
2.1209,8.8204,9.8103,0.2
9.9588,9.4959,9.8101,0.2
0.75,8.1327,9.6099,0.4
7.4214,0.5,9.8102,0.2
3.5188,7.8608,9.8101,0.2
6.709,9.8839,9.81,0.2
5.4238,2.4801,9.8099,0.2
6.3388,8.4627,9.61,0.4
9.7387,1.412,9.81,0.2
9.0595,8.6844,9.81,0.2
2.3213,6.001,9.8102,0.2
0.64,6.5041,9.6101,0.4
4.759,3.9655,9.8101,0.2
3.28,8.2966,9.8102,0.2
9.6218,7.0931,9.8101,0.2
6.5369,5.9982,9.8101,0.2
1.34,3.8639,9.6099,0.4
9.8418,0.9,9.81,0.2
0.802,5.9388,9.8101,0.2
8.8924,2.7941,9.8088,0.2
7.1223,9.467,9.61,0.4
4.3636,3.5953,9.8101,0.2
0.0366,5.4867,9.81,0.2
3.6455,2.9262,9.8097,0.2
3.6336,3.5458,9.61,0.4
7.1001,3.4383,9.8102,0.2
2.9862,3.3795,9.8102,0.2
8.4518,3.9762,9.81,0.2
7.9588,4.4488,9.8101,0.2
1.48,7.7811,9.6101,0.4
6.8391,2.3664,9.8102,0.2
4.1755,7.9883,9.8099,0.2
2.5743,0.954,9.8097,0.2
1.76,6.4379,9.6099,0.4
8.9027,1.376,9.81,0.2
1.34,1.466,9.8102,0.2
4.2174,4.0012,9.81,0.2
9.5481,8.3988,9.8094,0.2
2.139,0.48,9.61,0.4
5.7566,6.3018,9.8102,0.2
7.4407,5.6364,9.8102,0.2
6.4038,5.561,9.8102,0.2
